Date,Total Leads,Total Interested,Total Not Interested,Total Converted,Instagram Leads,Instagram Interested,Instagram Not Interested,Instagram Converted,Facebook Leads,Facebook Interested,Facebook Not Interested,Facebook Converted,LinkedIn Leads,LinkedIn Interested,LinkedIn Not Interested,LinkedIn Converted,X Leads,X Interested,X Not Interested,X Converted,YouTube Leads,YouTube Interested,YouTube Not Interested,YouTube Converted,Digital Leads,Digital Interested,Digital Not Interested,Digital Converted
09-08-2026,75,47,28,17,24,14,10,5,18,12,6,4,9,5,4,2,8,6,2,2,6,4,2,2,10,6,4,2
10-08-2026,84,58,26,20,25,19,6,7,17,12,5,4,15,10,5,3,6,4,2,2,9,5,4,1,12,8,4,3
11-08-2026,80,53,27,18,19,13,6,5,17,13,4,3,17,10,7,4,5,3,2,1,12,8,4,3,10,6,4,2
12-08-2026,86,60,26,19,21,16,5,4,20,15,5,5,12,8,4,3,8,6,2,2,11,7,4,3,14,8,6,2
13-08-2026,91,62,29,22,24,16,8,5,27,20,7,8,13,8,5,3,5,4,1,1,8,6,2,2,14,8,6,3
14-08-2026,88,60,28,18,24,16,8,4,17,13,4,4,16,10,6,3,4,3,1,1,12,7,5,3,15,11,4,3
15-08-2026,81,58,23,20,21,15,6,4,23,17,6,6,16,12,4,5,4,3,1,1,7,5,2,2,10,6,4,2
16-08-2026,90,60,30,18,26,17,9,6,27,20,7,5,10,7,3,2,7,4,3,1,12,7,5,2,8,5,3,2
17-08-2026,86,56,30,19,22,14,8,4,22,15,7,6,12,9,3,3,9,5,4,2,6,4,2,1,15,9,6,3
18-08-2026,81,52,29,14,19,12,7,3,25,16,9,5,12,8,4,2,9,6,3,2,8,5,3,1,8,5,3,1
19-08-2026,87,60,27,18,21,13,8,3,19,13,6,3,16,12,4,4,6,4,2,2,10,8,2,2,15,10,5,4
20-08-2026,71,51,20,15,18,13,5,4,15,11,4,3,11,7,4,2,9,7,2,2,9,6,3,2,9,7,2,2
21-08-2026,100,67,33,22,23,16,7,4,25,15,10,6,16,12,4,4,9,5,4,2,12,8,4,3,15,11,4,3
22-08-2026,71,48,23,16,18,14,4,5,16,11,5,4,10,6,4,2,7,4,3,2,12,8,4,2,8,5,3,1
23-08-2026,87,59,28,20,23,14,9,4,20,13,7,5,16,12,4,5,7,5,2,2,6,4,2,1,15,11,4,3
24-08-2026,83,56,27,19,22,15,7,6,16,10,6,3,14,9,5,3,8,6,2,2,11,7,4,3,12,9,3,2
25-08-2026,75,49,26,15,18,13,5,3,22,13,9,4,13,9,4,3,5,3,2,1,6,4,2,1,11,7,4,3
26-08-2026,82,55,27,16,25,17,8,6,16,10,6,2,15,11,4,3,7,5,2,1,9,5,4,2,10,7,3,2
27-08-2026,75,51,24,18,19,12,7,5,16,12,4,3,15,10,5,4,7,5,2,1,7,4,3,2,11,8,3,3
28-08-2026,78,53,25,18,22,14,8,5,20,13,7,5,13,10,3,3,5,4,1,1,7,5,2,2,11,7,4,2
29-08-2026,83,58,25,19,24,16,8,4,23,16,7,6,10,6,4,2,4,3,1,1,9,7,2,3,13,10,3,3
30-08-2026,74,50,24,13,21,16,5,4,18,13,5,3,14,8,6,2,7,4,3,1,6,4,2,1,8,5,3,2
31-08-2026,78,56,22,17,20,15,5,4,19,14,5,4,9,6,3,2,9,6,3,2,10,7,3,2,11,8,3,3
01-09-2026,95,65,30,21,26,17,9,4,21,16,5,5,17,12,5,5,8,6,2,2,9,5,4,2,14,9,5,3
02-09-2026,90,60,30,18,24,18,6,6,26,16,10,5,15,10,5,2,6,4,2,2,11,7,4,2,8,5,3,1
03-09-2026,76,54,22,16,24,18,6,4,21,14,7,5,11,8,3,2,4,3,1,1,6,4,2,1,10,7,3,3
04-09-2026,68,45,23,14,20,14,6,4,16,11,5,4,12,8,4,2,4,2,2,1,6,4,2,1,10,6,4,2
05-09-2026,84,57,27,18,27,17,10,6,18,11,7,3,12,9,3,3,8,6,2,2,8,6,2,2,11,8,3,2
06-09-2026,102,65,37,19,32,20,12,5,25,17,8,4,15,9,6,3,8,5,3,2,8,6,2,2,14,8,6,3
07-09-2026,86,58,28,17,25,15,10,5,17,13,4,3,16,11,5,3,7,4,3,1,12,8,4,3,9,7,2,2
08-09-2026,66,42,24,13,23,14,9,5,16,11,5,3,9,5,4,1,4,2,2,1,6,4,2,1,8,6,2,2
09-09-2026,78,54,24,19,21,15,6,5,19,13,6,5,12,9,3,3,8,5,3,1,8,5,3,2,10,7,3,3
10-09-2026,76,51,25,15,21,14,7,4,20,13,7,3,12,9,3,3,5,3,2,1,9,7,2,3,9,5,4,1
11-09-2026,95,66,29,22,28,19,9,6,23,17,6,5,17,10,7,4,6,4,2,2,8,6,2,2,13,10,3,3
12-09-2026,95,67,28,24,21,15,6,6,26,20,6,7,17,11,6,4,9,5,4,2,11,8,3,2,11,8,3,3
13-09-2026,87,58,29,18,27,17,10,5,23,15,8,4,11,7,4,2,8,6,2,2,6,4,2,2,12,9,3,3
14-09-2026,86,60,26,19,26,19,7,6,24,16,8,6,11,8,3,3,8,5,3,1,7,5,2,1,10,7,3,2
15-09-2026,93,63,30,21,19,13,6,5,27,18,9,7,13,10,3,2,9,5,4,2,10,6,4,2,15,11,4,3
16-09-2026,87,62,25,17,32,24,8,6,15,9,6,2,15,11,4,3,5,4,1,1,6,4,2,1,14,10,4,4
17-09-2026,94,59,35,22,27,16,11,6,25,16,9,6,11,7,4,2,6,4,2,2,11,8,3,3,14,8,6,3
18-09-2026,78,50,28,17,19,11,8,3,18,14,4,5,12,7,5,2,4,2,2,1,11,8,3,3,14,8,6,3
19-09-2026,81,57,24,19,22,15,7,4,23,17,6,4,13,10,3,4,5,4,1,2,7,4,3,2,11,7,4,3
20-09-2026,75,50,25,18,25,15,10,6,15,11,4,4,12,7,5,3,5,3,2,1,10,8,2,2,8,6,2,2
21-09-2026,69,49,20,14,19,13,6,4,17,13,4,3,9,7,2,2,9,7,2,2,6,4,2,1,9,5,4,2
22-09-2026,73,49,24,13,19,13,6,3,18,14,4,4,9,5,4,1,9,5,4,2,9,7,2,2,9,5,4,1
23-09-2026,85,53,32,18,22,14,8,5,21,14,7,4,14,9,5,3,4,2,2,1,12,7,5,3,12,7,5,2
24-09-2026,99,68,31,20,30,19,11,5,21,16,5,5,16,10,6,2,8,6,2,2,10,7,3,2,14,10,4,4
25-09-2026,74,51,23,17,21,14,7,4,15,10,5,3,10,7,3,2,7,4,3,2,10,8,2,3,11,8,3,3
26-09-2026,93,66,27,24,20,15,5,6,27,20,7,8,17,13,4,5,6,4,2,1,9,6,3,2,14,8,6,2
27-09-2026,87,55,32,15,23,16,7,5,19,11,8,3,15,9,6,2,7,5,2,1,8,5,3,1,15,9,6,3
28-09-2026,88,57,31,18,20,12,8,4,26,18,8,5,11,7,4,3,9,5,4,1,10,8,2,3,12,7,5,2
